brand,name,marketed,details
Olympus,Olympus Stylus Verve S aka Olympus µ-mini Digital S,2005,Marketed: 17-Feb-2005;Megapixels: 5
Olympus,Olympus AZ-2,2004,Marketed: 27-Sep-2004;Megapixels: 4
Olympus,Olympus E-300,2004,Marketed: 27-Sep-2004;Megapixels: 8
Olympus,Olympus Ferrari Digital Model 2004,2004,Marketed: 26-May-2004;Megapixels: 3.2
Olympus,Olympus C-460 Zoom del Sol,2004,Marketed: 19-Mar-2004;Megapixels: 4
Olympus,Olympus C-60Z aka Olympus X-3,2004,Marketed: 19-Mar-2004;Megapixels: 6.1
Olympus,Olympus D-395 aka Olympus C-160,2004,Marketed: 19-Mar-2004;Megapixels: 3.2
Olympus,Olympus C-725 UZ,2004,Marketed: 12-Feb-2004;Megapixels: 3
Olympus,Olympus C-765 UZ,2004,Marketed: 12-Feb-2004;Megapixels: 4
Olympus,Olympus C-770 Movie,2004,Marketed: 12-Feb-2004;Megapixels: 4
Olympus,Olympus C-8080WZ,2004,Marketed: 12-Feb-2004;Megapixels: 8
Olympus,Olympus D-540Z aka Olympus X-100 aka Olympus C-310Z,2004,Marketed: 12-Feb-2004;Megapixels: 3.2
Olympus,Olympus D-580Z aka X400 aka Olympus C-460Z,2004,Marketed: 12-Feb-2004;Megapixels: 4
Olympus,Olympus Stylus 410 Digital aka Olympus mju 410 Digital,2004,Marketed: 12-Feb-2004;Megapixels: 4
Olympus,Olympus C-760 UZ,2004,Marketed: 08-Jan-2004;Megapixels: 3.2
Olympus,Olympus C-5060WZ,2003,Marketed: 29-Sep-2003;Megapixels: 5.1
Olympus,Olympus C-5000Z,2003,Marketed: 02-Sep-2003;Megapixels: 5
Olympus,Olympus D-565Z aka X300 aka C-450Z,2003,Marketed: 04-Aug-2003;Megapixels: 4
Olympus,Olympus E-1,2003,Marketed: 24-Jun-2003;Megapixels: 5
Olympus,Olympus C-750UZ,2003,Marketed: 03-Mar-2003;Megapixels: 4
Olympus,Olympus D-390 aka C-150,2003,Marketed: 03-Mar-2003;Megapixels: 2
Olympus,Olympus X-200 aka D-560 Zoom aka C-350 Zoom,2003,Marketed: 03-Mar-2003;Megapixels: 3.2
